YS Chahal (RR),2022-2022,17,17,408,68.0,-,527,27,5/40,19.51,7.75,15.11,1,1
PW Hasaranga (RCB),2022-2022,16,16,342,57.0,1,430,26,5/18,16.53,7.54,13.15,1,1
K Rabada (PBKS),2022-2022,13,13,288,48.0,-,406,23,4/33,17.65,8.45,12.52,2,-
Umran Malik (SRH),2022-2022,14,14,295,49.1,1,444,22,5/25,20.18,9.03,13.40,1,1
Kuldeep Yadav (DC),2022-2022,14,14,298,49.4,-,419,21,4/14,19.95,8.43,14.19,2,-
Mohammed Shami (GT),2022-2022,16,16,366,61.0,-,488,20,3/25,24.40,8.00,18.30,-,-
JR Hazlewood (RCB),2022-2022,12,12,279,46.3,1,377,20,4/25,18.85,8.10,13.95,1,-
Rashid Khan (GT),2022-2022,16,16,383,63.5,-,421,19,4/24,22.15,6.59,20.15,1,-
HV Patel (RCB),2022-2022,15,15,321,53.3,2,410,19,4/34,21.57,7.66,16.89,1,-
M Prasidh Krishna (RR),2022-2022,17,17,399,66.3,3,551,19,3/22,29.00,8.28,21.00,-,-
Avesh Khan (LSG),2022-2022,13,13,286,47.4,1,416,18,4/24,23.11,8.72,15.88,1,-
T Natarajan (SRH),2022-2022,11,11,258,43.0,-,406,18,3/10,22.55,9.44,14.33,-,-
AD Russell (KKR),2022-2022,14,13,169,28.1,-,278,17,4/5,16.35,9.86,9.94,1,-
UT Yadav (KKR),2022-2022,12,12,288,48.0,2,339,16,4/23,21.18,7.06,18.00,1,-
TA Boult (RR),2022-2022,16,16,372,62.0,3,492,16,2/18,30.75,7.93,23.25,-,-
KK Ahmed (DC),2022-2022,10,10,235,39.1,-,315,16,3/25,19.68,8.04,14.68,-,-
DJ Bravo (CSK),2022-2022,10,10,206,34.2,1,299,16,3/20,18.68,8.70,12.87,-,-
Mukesh Choudhary (CSK),2022-2022,13,13,273,45.3,-,424,16,4/46,26.50,9.31,17.06,1,-
JJ Bumrah (MI),2022-2022,14,14,320,53.2,2,383,15,5/10,25.53,7.18,21.33,-,1
SN Thakur (DC),2022-2022,14,14,290,48.2,1,473,15,4/36,31.53,9.78,19.33,1,-
Mohsin Khan (LSG),2022-2022,9,9,198,33.0,2,197,14,4/16,14.07,5.96,14.14,1,-
RD Chahar (PBKS),2022-2022,13,13,280,46.4,1,360,14,3/25,25.71,7.71,20.00,-,-
TG Southee (KKR),2022-2022,9,9,210,35.0,-,275,14,3/20,19.64,7.85,15.00,-,-
JO Holder (LSG),2022-2022,12,12,249,41.3,-,391,14,3/31,27.92,9.42,17.78,-,-
Ravi Bishnoi (LSG),2022-2022,14,14,324,54.0,-,456,13,2/22,35.07,8.44,24.92,-,-
DR Sams (MI),2022-2022,11,11,252,42.0,-,370,13,4/30,28.46,8.80,19.38,1,-
B Kumar (SRH),2022-2022,14,14,313,52.1,2,383,12,3/22,31.91,7.34,26.08,-,-
